gene	npas	pval	RLDu	RLDi	REDu	REDu.pval	REDi	REDi.pval	nread.c1.1	nread.c2.1
Btaf1	4	1.14e-05	-0.496	-0.0601	-2.2	1.97e-07	-1.26	0.00934	262	339
March5	2	0.0508	-0.23	NA	-0.405	0.000657	NA	NA	1551	1033
Kif11	3	0.188	-0.626	NA	-0.839	0.132	NA	NA	389	88
Exoc6	2	0.395	-0.394	NA	-0.683	0.245	NA	NA	85	63
Cep55	3	7.29e-06	1.07	1.57	2.07	3.89e-19	2.55	1.06e-07	682	242
Hells	3	8.3e-07	-0.558	NA	-1.21	6.86e-08	NA	NA	1534	540
Ubtd1	2	0.938	NA	-0.179	NA	NA	-0.179	0.736	279	497
Entpd7	2	0.847	-0.0839	NA	-0.208	0.566	NA	NA	247	115
Hif1an	3	0.171	-0.108	NA	-0.635	0.0603	NA	NA	432	466
Slf2	4	0.0129	-0.0549	NA	-0.673	7.27e-05	NA	NA	1064	870
Twnk	2	0.883	NA	0.179	NA	NA	0.179	0.621	210	258
Sfxn3	2	0.902	-0.0891	NA	-0.122	0.557	NA	NA	614	605
Kazald1	2	0.0635	1.29	NA	1.79	0.000577	NA	NA	123	71
Btrc	3	7.54e-08	-1.23	-2.55	-0.459	0.441	-2.75	3.14e-08	145	86
Dpcd	2	0.918	0.126	NA	0.181	0.449	NA	NA	360	325
Pprc1	2	0.999	0.00301	NA	0.00695	1	NA	NA	409	236
Nolc1	2	4.16e-11	-0.72	NA	-0.901	7.89e-12	NA	NA	2203	1255
Nfkb2	3	0.00564	-0.417	NA	-0.826	0.000523	NA	NA	612	359
Sfxn2	2	0.235	0.14	NA	0.578	0.0875	NA	NA	300	150
Wbp1l	2	0.242	-0.546	NA	-0.675	0.0011	NA	NA	1138	558
Borcs7	2	0.995	0.0193	NA	0.0289	0.92	NA	NA	230	216
Taf5	2	0.0398	NA	-1.24	NA	NA	-1.24	0.0094	91	66
Pdcd11	3	0.0578	-0.384	NA	-0.808	0.000281	NA	NA	775	388
Slk	3	2.48e-06	-0.133	NA	-0.595	7.11e-06	NA	NA	1599	1420
Sfr1	2	0.00175	NA	-0.313	NA	NA	-0.313	0.000389	7997	7330
Gsto2	3	0.000865	0.0984	0.412	1.72	1.56e-05	0.47	0.041	854	1070
Add3	2	0.439	0.0853	NA	0.43	0.259	NA	NA	336	184
Mxi1	3	0.585	0.103	NA	0.897	0.134	NA	NA	207	183
Smc3	2	0.461	0.395	NA	0.43	0.157	NA	NA	990	478
Shoc2	2	0.866	0.0408	NA	0.158	0.621	NA	NA	282	247
Vti1a	6	7.52e-09	-0.607	-0.0325	-2.36	2.66e-10	-1.44	0.00115	323	305
Tcf7l2	3	0.000156	0.182	NA	1.37	6.37e-06	NA	NA	635	353
Nhlrc2	5	2.85e-17	-0.61	NA	-1.45	1.06e-12	NA	NA	862	544
Fam160b1	2	0.108	-0.345	NA	-0.533	0.0384	NA	NA	295	291
Trub1	2	0.661	-0.355	NA	-0.485	0.42	NA	NA	217	57
Gm6020	2	0.499	0.346	NA	0.506	0.295	NA	NA	130	88
Aip	2	0.668	-0.187	NA	-0.245	0.398	NA	NA	305	329
Rad9a	2	0.339	-0.0883	NA	-0.54	0.188	NA	NA	173	379
Grk2	2	0.993	-0.00758	NA	-0.0266	0.936	NA	NA	405	358
Kdm2a	2	0.00291	-0.135	NA	-0.988	0.000293	NA	NA	576	375
Rhod	3	0.75	-0.276	NA	-0.595	0.298	NA	NA	247	153
Rbm14	2	0.639	-0.231	NA	-0.262	0.393	NA	NA	720	515
Sf3b2	2	0.984	NA	-0.0181	NA	NA	-0.0181	0.859	5215	4095
Banf1	2	3.43e-05	0.375	NA	0.848	2.97e-14	NA	NA	1488	1275
Sart1	3	7.26e-08	NA	-0.645	NA	NA	-1.15	3.61e-09	601	519
Drap1	2	0.259	NA	0.742	NA	NA	0.742	0.0528	747	632
Ehbp1l1	3	0.649	0.0382	NA	0.222	0.112	NA	NA	1444	1777
Malat1	3	0.109	-0.163	NA	-0.238	0.0209	NA	NA	9126	7779
Neat1	2	3.08e-17	-1.1	NA	-1.19	3.38e-24	NA	NA	3085	7137
Frmd8	2	0.00427	0.17	NA	0.982	4.79e-07	NA	NA	833	775
Dpf2	2	0.909	0.0511	NA	0.116	0.622	NA	NA	393	421
Cdc42ep2	2	0.927	0.0402	NA	0.118	0.563	NA	NA	691	434
Mrpl49	3	0.0162	-0.259	NA	-0.486	0.013	NA	NA	623	436
Tm7sf2	3	0.00131	NA	0.86	NA	NA	0.862	0.00558	667	429
Vps51	2	0.669	NA	0.158	NA	NA	0.158	0.394	709	484
Prdx5	2	0.00214	NA	0.542	NA	NA	0.542	0.000528	1703	1883
Otub1	2	0.984	0.00811	NA	0.0368	0.888	NA	NA	669	520
Naa40	3	5.6e-06	0.855	NA	2.04	1.74e-07	NA	NA	961	568
AI846148	2	0.000503	NA	1.55	NA	NA	1.55	6.1e-05	139	111
Rtn3	2	3.1e-09	-0.274	NA	-0.43	3.57e-10	NA	NA	3667	4046
Tmem179b	2	0.0882	NA	-0.822	NA	NA	-0.822	0.0271	211	144
Ttc9c	4	0.684	-0.0302	-0.65	0.0958	0.905	-0.643	0.165	515	303
Uqcc3	3	0.176	-0.0874	NA	-1.01	1.09e-05	NA	NA	639	433
Asrgl1	3	0.0187	-0.748	NA	-1.45	0.000607	NA	NA	164	92
Incenp	2	0.107	NA	-0.62	NA	NA	-0.62	0.0309	1836	439
Sdhaf2	2	0.383	0.144	NA	0.299	0.166	NA	NA	493	301
Ccdc86	4	0.285	-0.238	NA	-0.714	0.0343	NA	NA	415	337
Dtx4	2	0.121	0.21	NA	0.554	0.0329	NA	NA	222	341
Zfp91	3	0.00274	-0.579	-0.304	-0.634	0.00111	-0.787	0.000404	1030	997
Vps13a	3	0.507	-0.17	-0.632	-0.112	0.815	-0.702	0.158	212	165
1110059E24Rik	2	0.00284	NA	-0.777	NA	NA	-0.777	0.00176	864	736
Smc5	4	0.0802	-0.131	NA	-0.561	0.00682	NA	NA	879	476
Tjp2	2	0.000874	-0.195	NA	-0.593	0.000184	NA	NA	667	946
Pip5k1b	2	0.0672	NA	NA	NA	NA	NA	NA	274	178
Fam122a	2	0.0672	0.356	NA	0.878	0.00253	NA	NA	271	177
Cbwd1	3	0.00542	0.462	1.26	0.357	0.303	1.47	0.00064	201	191
Pum3	4	0.0138	-0.346	-0.798	-0.632	0.0156	-1.34	0.000893	1038	840
Glis3	2	1	-0.00611	NA	-0.0204	1	NA	NA	231	358
Acta2	2	0.4	0.0437	NA	0.141	0.111	NA	NA	2674	2481
Pank1	3	0.56	-0.0976	NA	-0.408	0.153	NA	NA	470	155
Ide	2	0.00133	-0.28	NA	-0.801	0.000302	NA	NA	502	305
Myof	2	0.00904	0.105	NA	0.415	3.26e-11	NA	NA	6320	5054
Noc3l	2	0.0151	0.578	NA	1.96	1.8e-05	NA	NA	108	108
Sorbs1	3	0.162	-0.066	0.825	-0.283	0.316	0.96	0.0275	253	289
Aldh18a1	2	4.56e-05	NA	-0.566	NA	NA	-0.566	6.18e-06	1783	4478
Rrp12	3	0.00378	-1.3	NA	-1.91	0.000442	NA	NA	289	242
Exosc1	2	0.029	-0.729	NA	-0.894	0.00672	NA	NA	336	235
Mms19	2	0.959	0.0479	NA	0.106	0.637	NA	NA	404	271
Dnmbp	2	0.962	NA	-0.0537	NA	NA	-0.0537	0.791	490	470
Erlin1	2	1.97e-06	-0.138	NA	-2.44	3e-07	NA	NA	502	295
Cwf19l1	2	0.981	-0.0486	NA	-0.0721	0.814	NA	NA	196	138
Scd1	2	6.29e-07	-0.249	NA	-0.701	1.23e-07	NA	NA	1223	937
Ndufb8	3	7.09e-06	0.153	-0.0186	0.718	6.09e-17	-0.672	1.56e-09	3606	3815
Mrpl43	3	0.212	0.073	NA	0.569	0.00131	NA	NA	1237	981
Fbxw4	2	0.986	NA	0.0686	NA	NA	0.0686	1	149	96
Mgea5	2	9.84e-05	-0.173	NA	-0.614	2.22e-05	NA	NA	728	1738
9130011E15Rik	2	0.523	0.193	NA	0.474	0.276	NA	NA	111	111
Cuedc2	2	0.312	0.157	NA	0.482	0.00817	NA	NA	593	598
Actr1a	2	0.0624	0.364	NA	0.852	2.8e-06	NA	NA	659	448
Arl3	2	3.77e-08	NA	-0.971	NA	NA	-0.971	6.01e-09	909	1003
Sh3pxd2a	2	1.89e-32	-0.599	NA	-1.16	3.93e-34	NA	NA	2053	1729
Smndc1	5	1.71e-07	-0.0094	0.337	1.64	1.81e-15	1.13	1.15e-05	879	1361
Bbip1	2	0.945	0.116	NA	0.13	0.795	NA	NA	381	306
Zdhhc6	2	0.655	0.206	NA	0.657	0.15	NA	NA	170	78
Ccdc186	2	0.814	-0.0542	NA	-0.184	0.566	NA	NA	220	321
Pdzd8	4	0.000156	-0.336	NA	-1.23	1.73e-05	NA	NA	483	484
Cacul1	5	4.3e-17	-0.302	NA	-1.54	9.71e-20	NA	NA	1239	2198
Eif3a	6	3.03e-16	-0.23	-0.443	-0.494	9.93e-08	-0.468	2.03e-08	6091	5151
Mrpl21	1	NA	NA	NA	NA	NA	NA	NA	360	336
Cpt1a	1	NA	NA	NA	NA	NA	NA	NA	499	600
1810055G02Rik	1	NA	NA	NA	NA	NA	NA	NA	459	318
Cdk2ap2	1	NA	NA	NA	NA	NA	NA	NA	294	233
Pitpnm1	1	NA	NA	NA	NA	NA	NA	NA	150	110
Coro1b	1	NA	NA	NA	NA	NA	NA	NA	384	432
Ppp1ca	1	NA	NA	NA	NA	NA	NA	NA	4653	4172
Clcf1	1	NA	NA	NA	NA	NA	NA	NA	315	710
Pold4	1	NA	NA	NA	NA	NA	NA	NA	99	161
Mrpl11	1	NA	NA	NA	NA	NA	NA	NA	1579	1358
B4gat1	1	NA	NA	NA	NA	NA	NA	NA	332	96
Rin1	1	NA	NA	NA	NA	NA	NA	NA	302	313
Gm25432	1	NA	NA	NA	NA	NA	NA	NA	80	65
Fosl1	1	NA	NA	NA	NA	NA	NA	NA	1160	1836
Fibp	1	NA	NA	NA	NA	NA	NA	NA	269	251
Rela	1	NA	NA	NA	NA	NA	NA	NA	1080	897
Ltbp3	1	NA	NA	NA	NA	NA	NA	NA	1229	1291
Slc25a45	1	NA	NA	NA	NA	NA	NA	NA	133	155
Syvn1	1	NA	NA	NA	NA	NA	NA	NA	1123	691
Fau	1	NA	NA	NA	NA	NA	NA	NA	4852	5545
Znhit2	1	NA	NA	NA	NA	NA	NA	NA	285	171
ENSMUSG00000092319	1	NA	NA	NA	NA	NA	NA	NA	283	167
Cdca5	1	NA	NA	NA	NA	NA	NA	NA	306	54
Atg2a	1	NA	NA	NA	NA	NA	NA	NA	298	522
Men1	1	NA	NA	NA	NA	NA	NA	NA	439	93
Sf1	1	NA	NA	NA	NA	NA	NA	NA	3995	4344
Trmt112	1	NA	NA	NA	NA	NA	NA	NA	896	775
Rcor2	1	NA	NA	NA	NA	NA	NA	NA	202	74
2700081O15Rik	1	NA	NA	NA	NA	NA	NA	NA	116	117
Pla2g16	1	NA	NA	NA	NA	NA	NA	NA	647	1064
Gm16437	1	NA	NA	NA	NA	NA	NA	NA	712	590
Gm22744	1	NA	NA	NA	NA	NA	NA	NA	77	61
Gm22680	1	NA	NA	NA	NA	NA	NA	NA	105	80
Snord22	1	NA	NA	NA	NA	NA	NA	NA	5509	4946
Wdr74	1	NA	NA	NA	NA	NA	NA	NA	409	267
Stx5a	1	NA	NA	NA	NA	NA	NA	NA	246	210
Nxf1	1	NA	NA	NA	NA	NA	NA	NA	377	193
Ints5	1	NA	NA	NA	NA	NA	NA	NA	679	252
Ganab	1	NA	NA	NA	NA	NA	NA	NA	2739	1842
B3gat3	1	NA	NA	NA	NA	NA	NA	NA	246	173
Eml3	1	NA	NA	NA	NA	NA	NA	NA	102	83
Mta2	1	NA	NA	NA	NA	NA	NA	NA	1219	800
Tut1	1	NA	NA	NA	NA	NA	NA	NA	253	222
Eef1g	1	NA	NA	NA	NA	NA	NA	NA	10950	13277
Ahnak	1	NA	NA	NA	NA	NA	NA	NA	10853	9641
Pcna-ps2	1	NA	NA	NA	NA	NA	NA	NA	1619	899
Fads1	1	NA	NA	NA	NA	NA	NA	NA	2305	1938
Tmem258	1	NA	NA	NA	NA	NA	NA	NA	551	583
Cpsf7	1	NA	NA	NA	NA	NA	NA	NA	615	323
Ddb1	1	NA	NA	NA	NA	NA	NA	NA	21186	17915
Vps37c	1	NA	NA	NA	NA	NA	NA	NA	508	326
Prpf19	1	NA	NA	NA	NA	NA	NA	NA	3055	2142
Ms4a4d	1	NA	NA	NA	NA	NA	NA	NA	318	256
Prune2	1	NA	NA	NA	NA	NA	NA	NA	54	99
D030056L22Rik	1	NA	NA	NA	NA	NA	NA	NA	657	455
Mir1192	1	NA	NA	NA	NA	NA	NA	NA	565	601
Gm9493	1	NA	NA	NA	NA	NA	NA	NA	208	126
Gm6563	1	NA	NA	NA	NA	NA	NA	NA	1257	748
Kank1	1	NA	NA	NA	NA	NA	NA	NA	324	361
Smarca2	1	NA	NA	NA	NA	NA	NA	NA	278	209
Gm5518	1	NA	NA	NA	NA	NA	NA	NA	267	111
Uhrf2	1	NA	NA	NA	NA	NA	NA	NA	761	891
Cstf2t	1	NA	NA	NA	NA	NA	NA	NA	895	730
Papss2	1	NA	NA	NA	NA	NA	NA	NA	82	110
Stambpl1	1	NA	NA	NA	NA	NA	NA	NA	92	99
Ifit2	1	NA	NA	NA	NA	NA	NA	NA	233	73
Rpp30	1	NA	NA	NA	NA	NA	NA	NA	185	200
Hectd2	1	NA	NA	NA	NA	NA	NA	NA	50	97
Tnks2	1	NA	NA	NA	NA	NA	NA	NA	2553	3392
Gm23300	1	NA	NA	NA	NA	NA	NA	NA	597	227
Tbc1d12	1	NA	NA	NA	NA	NA	NA	NA	110	130
Cyp2c55	1	NA	NA	NA	NA	NA	NA	NA	118	104
Zfp518a	1	NA	NA	NA	NA	NA	NA	NA	62	100
Lcor	1	NA	NA	NA	NA	NA	NA	NA	112	106
Gm340	1	NA	NA	NA	NA	NA	NA	NA	60	65
AI606181	1	NA	NA	NA	NA	NA	NA	NA	92	67
Pgam1	1	NA	NA	NA	NA	NA	NA	NA	110	66
Zdhhc16	1	NA	NA	NA	NA	NA	NA	NA	272	139
Pi4k2a	1	NA	NA	NA	NA	NA	NA	NA	653	376
Marveld1	1	NA	NA	NA	NA	NA	NA	NA	422	194
Zfyve27	1	NA	NA	NA	NA	NA	NA	NA	102	95
R3hcc1l	1	NA	NA	NA	NA	NA	NA	NA	251	215
Cutc	1	NA	NA	NA	NA	NA	NA	NA	72	73
Scd2	1	NA	NA	NA	NA	NA	NA	NA	12181	6765
Mir5114	1	NA	NA	NA	NA	NA	NA	NA	12000	6542
Lzts2	1	NA	NA	NA	NA	NA	NA	NA	894	466
Hps6	1	NA	NA	NA	NA	NA	NA	NA	124	85
Gbf1	1	NA	NA	NA	NA	NA	NA	NA	567	234
Fbxl15	1	NA	NA	NA	NA	NA	NA	NA	179	111
Sufu	1	NA	NA	NA	NA	NA	NA	NA	273	96
Trim8	1	NA	NA	NA	NA	NA	NA	NA	264	214
Gsto1	1	NA	NA	NA	NA	NA	NA	NA	4603	6422
Dusp5	1	NA	NA	NA	NA	NA	NA	NA	324	1710
Pdcd4	1	NA	NA	NA	NA	NA	NA	NA	130	114
Acsl5	1	NA	NA	NA	NA	NA	NA	NA	985	708
Atrnl1	1	NA	NA	NA	NA	NA	NA	NA	435	291
Emx2	1	NA	NA	NA	NA	NA	NA	NA	377	179
Fam45a	1	NA	NA	NA	NA	NA	NA	NA	132	133
Grk5	1	NA	NA	NA	NA	NA	NA	NA	142	99
Ighmbp2	1	NA	NA	NA	NA	NA	NA	NA	141	124
Ppp6r3	1	NA	NA	NA	NA	NA	NA	NA	2058	1765
Lrp5	1	NA	NA	NA	NA	NA	NA	NA	180	240
Tcirg1	1	NA	NA	NA	NA	NA	NA	NA	532	678
Ndufs8	1	NA	NA	NA	NA	NA	NA	NA	651	677
Ndufv1	1	NA	NA	NA	NA	NA	NA	NA	1458	1339
Rps6kb2	1	NA	NA	NA	NA	NA	NA	NA	288	176
Lrfn4	1	NA	NA	NA	NA	NA	NA	NA	964	752
Rce1	1	NA	NA	NA	NA	NA	NA	NA	326	436
Ccs	1	NA	NA	NA	NA	NA	NA	NA	587	457
Dpp3	1	NA	NA	NA	NA	NA	NA	NA	547	395
Peli3	1	NA	NA	NA	NA	NA	NA	NA	73	104
Rab1b	1	NA	NA	NA	NA	NA	NA	NA	368	275
Kat5	1	NA	NA	NA	NA	NA	NA	NA	162	134
Sipa1	1	NA	NA	NA	NA	NA	NA	NA	174	101
Pcnx3	1	NA	NA	NA	NA	NA	NA	NA	701	279
Fam89b	1	NA	NA	NA	NA	NA	NA	NA	1174	1348
Sssca1	1	NA	NA	NA	NA	NA	NA	NA	533	375
Scyl1	1	NA	NA	NA	NA	NA	NA	NA	659	596
Pola2	1	NA	NA	NA	NA	NA	NA	NA	272	84
Zfpl1	1	NA	NA	NA	NA	NA	NA	NA	308	291
Sac3d1	1	NA	NA	NA	NA	NA	NA	NA	453	229
Snx15	1	NA	NA	NA	NA	NA	NA	NA	291	107
Arl2	1	NA	NA	NA	NA	NA	NA	NA	225	173
Rps6ka4	1	NA	NA	NA	NA	NA	NA	NA	762	626
Esrra	1	NA	NA	NA	NA	NA	NA	NA	198	177
Gpr137	1	NA	NA	NA	NA	NA	NA	NA	122	90
Fkbp2	1	NA	NA	NA	NA	NA	NA	NA	943	565
Vegfb	1	NA	NA	NA	NA	NA	NA	NA	550	435
Stip1	1	NA	NA	NA	NA	NA	NA	NA	2193	3174
Cox8a	1	NA	NA	NA	NA	NA	NA	NA	9234	9562
Mark2	1	NA	NA	NA	NA	NA	NA	NA	208	139
Slc22a27	1	NA	NA	NA	NA	NA	NA	NA	126	128
Gm24951	1	NA	NA	NA	NA	NA	NA	NA	106	114
Slc3a2	1	NA	NA	NA	NA	NA	NA	NA	1393	3117
Polr2g	1	NA	NA	NA	NA	NA	NA	NA	1710	1791
Mir5136	1	NA	NA	NA	NA	NA	NA	NA	867	436
Snora57	1	NA	NA	NA	NA	NA	NA	NA	702	388
Rom1	1	NA	NA	NA	NA	NA	NA	NA	78	65
Fads2	1	NA	NA	NA	NA	NA	NA	NA	3633	2864
Fen1	1	NA	NA	NA	NA	NA	NA	NA	2677	747
Tmem216	1	NA	NA	NA	NA	NA	NA	NA	116	87
Tmem138	1	NA	NA	NA	NA	NA	NA	NA	147	87
Tmem132a	1	NA	NA	NA	NA	NA	NA	NA	179	117
Tmem109	1	NA	NA	NA	NA	NA	NA	NA	1978	1325
Stx3	1	NA	NA	NA	NA	NA	NA	NA	190	210
Tle4	1	NA	NA	NA	NA	NA	NA	NA	189	164
Psat1	1	NA	NA	NA	NA	NA	NA	NA	3788	4591
E030024N20Rik	1	NA	NA	NA	NA	NA	NA	NA	2469	2581
Gm10819	1	NA	NA	NA	NA	NA	NA	NA	691	742
Ostf1	1	NA	NA	NA	NA	NA	NA	NA	1257	1763
Anxa1	1	NA	NA	NA	NA	NA	NA	NA	5857	3611
Fxn	1	NA	NA	NA	NA	NA	NA	NA	288	246
Gm6788	1	NA	NA	NA	NA	NA	NA	NA	1199	1161
Gm5822	1	NA	NA	NA	NA	NA	NA	NA	99	83
Gm10136	1	NA	NA	NA	NA	NA	NA	NA	799	1169
Ak3	1	NA	NA	NA	NA	NA	NA	NA	367	243
Plgrkt	1	NA	NA	NA	NA	NA	NA	NA	571	398
Ermp1	1	NA	NA	NA	NA	NA	NA	NA	155	104
Asah2	1	NA	NA	NA	NA	NA	NA	NA	181	134
Sgms1	1	NA	NA	NA	NA	NA	NA	NA	486	340
Rpl9-ps6	1	NA	NA	NA	NA	NA	NA	NA	3134	3697
Atad1	1	NA	NA	NA	NA	NA	NA	NA	2082	1363
Lipa	1	NA	NA	NA	NA	NA	NA	NA	509	306
Ankrd1	1	NA	NA	NA	NA	NA	NA	NA	983	756
Cpeb3	1	NA	NA	NA	NA	NA	NA	NA	73	115
Fra10ac1	1	NA	NA	NA	NA	NA	NA	NA	279	122
Pdlim1	1	NA	NA	NA	NA	NA	NA	NA	974	1638
Tm9sf3	1	NA	NA	NA	NA	NA	NA	NA	11099	11007
Frat2	1	NA	NA	NA	NA	NA	NA	NA	206	63
Avpi1	1	NA	NA	NA	NA	NA	NA	NA	1228	858
Hps1	1	NA	NA	NA	NA	NA	NA	NA	76	113
Got1	1	NA	NA	NA	NA	NA	NA	NA	1256	1714
Slc25a28	1	NA	NA	NA	NA	NA	NA	NA	203	108
Cox15	1	NA	NA	NA	NA	NA	NA	NA	68	77
Gm24400	1	NA	NA	NA	NA	NA	NA	NA	186	175
Chuk	1	NA	NA	NA	NA	NA	NA	NA	1087	915
Bloc1s2	1	NA	NA	NA	NA	NA	NA	NA	196	183
Gm20538	1	NA	NA	NA	NA	NA	NA	NA	2312	2439
Gm6807	1	NA	NA	NA	NA	NA	NA	NA	706	622
Poll	1	NA	NA	NA	NA	NA	NA	NA	167	66
Npm3	1	NA	NA	NA	NA	NA	NA	NA	1211	853
Ldb1	1	NA	NA	NA	NA	NA	NA	NA	253	123
Nt5c2	1	NA	NA	NA	NA	NA	NA	NA	164	125
Usmg5	1	NA	NA	NA	NA	NA	NA	NA	10387	8744
Stn1	1	NA	NA	NA	NA	NA	NA	NA	121	167
Itprip	1	NA	NA	NA	NA	NA	NA	NA	326	429
Rpl13a-ps1	1	NA	NA	NA	NA	NA	NA	NA	287	275
Xpnpep1	1	NA	NA	NA	NA	NA	NA	NA	554	450
Nutf2-ps1	1	NA	NA	NA	NA	NA	NA	NA	622	421
Gpam	1	NA	NA	NA	NA	NA	NA	NA	120	80
Rab11fip2	1	NA	NA	NA	NA	NA	NA	NA	75	54
Fam204a	1	NA	NA	NA	NA	NA	NA	NA	762	722
Prdx3	1	NA	NA	NA	NA	NA	NA	NA	536	432
